"","Q","X","t","p","index","sig","Text","Category","Domain","Mind"
"44","T144",44,29.5981012968121,0,32,"p<.001***","What is the worst pain you have ever felt?","personal, subjective","biological","both"
"13","T110",13,29.0927883641226,0,33,"p<.001***","Are you a male or a female?","personal, objective","biological",""
"124","T6",124,29.0591749673477,0,34,"p<.001***","Can you please tell me what I should do in a breakup with my girlfriend?","personal, subjective","social","agency"
"57","T158",57,28.7186743419068,0,35,"p<.001***","What is your favorite thing to eat for dinner?","personal, subjective","biological","experience"
"54","T155",54,27.9074112692699,0,36,"p<.001***","What is the difference between how cotton fabrics feel compared to wool fabrics?","factual","",""
"90","T27",90,27.8015366906947,0,37,"p<.001***","How vast is the known universe?","factual","",""
"35","T136",35,27.0463328685655,0,38,"p<.001***","Are you cisgendered or transgendered?","personal, objective","biological",""
"85","T21",85,26.9821143710774,0,39,"p<.001***","Have you studied in college?","personal, objective","social",""
"47","T148",47,26.6420246769234,0,40,"p<.001***","Do you have feelings?","personal, objective","psychological",""
"110","T46",110,26.4551514067098,0,41,"p<.001***","What is your favorite color?","personal, subjective","psychological","experience"
"99","T35",99,26.4206192315454,0,42,"p<.001***","Do you know the difference between right and wrong?","personal, subjective","social","agency"
"83","T19",83,26.2671761257721,0,43,"p<.001***","How would you feel if your partner cheated on you?","personal, subjective","psychological","experience"
"113","T5",113,26.2168309326287,0,44,"p<.001***","My mother's name is Mae, who is your mother?","personal, objective","social",""
"40","T140",40,24.7063898539798,0,45,"p<.001***","What was the name of your first-grade teacher?","personal, objective","social",""
"52","T152",52,24.0342397730515,0,46,"p<.001***","Why do you feel attracted to the sexiest person you know?","personal, subjective","psychological","both"
"140","T80",140,23.8484596268866,0,47,"p<.001***","How would you feel at the birth of your first child?","personal, subjective","psychological","experience"
"138","T78",138,23.6378739118291,0,48,"p<.001***","Why did the chicken cross the road?","factual","",""
"75","T176",75,23.2016587522297,0,49,"p<.001***","Do you trust artificial intelligence and why/why not?","personal, subjective","psychological","agency"
"126","T64",126,22.988127390189,0,50,"p<.001***","What is the highest level of education you've achieved?","personal, objective","social",""
"10","T107",10,22.4263856238808,0,51,"p<.001***","Which do you like better: pizza or sardines?","personal, subjective","biological","experience"
"30","T130",30,22.3343785335794,0,52,"p<.001***","What is pi to 30 decimal places?","factual","",""
"12","T109",12,21.8142464681452,0,53,"p<.001***","What is the name of the favorite boss you ever had?","personal, subjective","social","both"
"129","T69",129,21.719603273395,0,54,"p<.001***","What does it feel like when you look into the eyes of someone you love?","personal, subjective","psychological","experience"
"104","T40",104,21.6707544559748,0,55,"p<.001***","What is today's weather?","factual","",""
"11","T108",11,20.92949059873,0,56,"p<.001***","Is it cold in here to you?","personal, subjective","biological","experience"
"31","T132",31,20.8810675239962,0,57,"p<.001***","What country are you a citizen of?","personal, objective","biological",""
"68","T17",68,20.8186586113013,0,58,"p<.001***","What is the largest prime number?","factual","",""
"93","T3",93,20.7748908595072,0,59,"p<.001***","What was school like for you?","personal, subjective","social","agency"
"123","T59",123,20.4104950933465,0,60,"p<.001***","Will you describe your most humiliating moment?","personal, subjective","psychological","both"
"133","T73",133,19.8392951853763,0,61,"p<.001***","Are you expensive? ","personal, subjective","biological","agency"
"118","T54",118,19.712659557956,0,62,"p<.001***","Where did you grow up?","personal, objective","biological",""
"153","T94",153,19.677514355295,0,63,"p<.001***","When did you graduate high school?","personal, objective","social",""
"84","T2",84,19.6513733992313,0,64,"p<.001***","What do you do for a living?","personal, objective","social",""
"148","T89",148,19.2628339150123,0,65,"p<.001***","What is the weather like today in Newport beach?","factual","",""
"22","T121",22,18.9810033584373,0,66,"p<.001***","What year was Malcolm X shot?","factual","",""
"100","T37",100,18.9067636267492,0,67,"p<.001***","What is your earliest memory?","personal, subjective","psychological","agency"
"76","T177",76,18.6590231523371,0,68,"p<.001***","What is the population of Cuba?","factual","",""
"5","T102",5,18.0891023338936,0,69,"p<.001***","Did Carole Baskin kill her husband and feed him to the tigers?","personal, subjective","psychological","agency"
"155","T97",155,17.7331041875859,0,70,"p<.001***","What have you been up to this week?","personal, subjective","psychological","agency"
"7","T104",7,17.6317082141567,0,71,"p<.001***","What did you have for lunch today?","personal, objective","biological",""
"51","T151",51,17.1810024349412,0,72,"p<.001***","How often do you take a bath?","personal, objective","biological",""
"97","T33",97,17.0651002735871,0,73,"p<.001***","What do you remember about your first day of school?","personal, subjective","social","agency"
"102","T39",102,16.8201944298218,0,74,"p<.001***","What is the population of Indonesia?","factual","",""
"136","T76",136,16.731997166887,0,75,"p<.001***","What is the craziest thing you've ever done?","personal, subjective","psychological","agency"
"127","T65",127,16.481865417205,0,76,"p<.001***","Where are you from?","personal, objective","biological",""
"150","T91",150,16.4551186699131,0,77,"p<.001***","What was the hardest moment you have lived through?","personal, subjective","psychological","both"
"109","T45",109,16.0833890682409,0,78,"p<.001***","Which state is the president of Sweden from?","factual","",""
"46","T147",46,15.7392076492308,0,79,"p<.001***","What does your best friend mean to you?","personal, subjective","social","agency"
"157","T99",157,15.6251174082115,0,80,"p<.001***","What movie made the most money in 1978 and who was the main star?","factual","",""
"1","T1",1,15.5885846340563,0,81,"p<.001***","From whom do you receive most of your knowledge?","personal, objective","social",""
"77","T178",77,15.4657720986057,0,82,"p<.001***","What is Finding Nemo's boat name?","factual","",""
"112","T49",112,15.4541056264322,0,83,"p<.001***","What day of the week was the original Bastille Day?","factual","",""
"60","T160",60,14.9632597796849,0,84,"p<.001***","How many different species of insects are there?","factual","",""
"94","T30",94,14.921374280629,0,85,"p<.001***","Will you explain the reason you like your favorite painting?","personal, subjective","psychological","both"
"53","T153",53,14.9194220385534,0,86,"p<.001***","What is the full number of pi?","factual","",""
"15","T112",15,14.8429888683854,0,87,"p<.001***","What was your happiest day?","personal, subjective","psychological","both"
"141","T81",141,14.5811358396612,0,88,"p<.001***","Are you excited?","personal, subjective","psychological","experience"
"95","T31",95,14.5762365536778,0,89,"p<.001***","What is your opinion on stoicism?","personal, subjective","psychological","agency"
"70","T171",70,14.5515346470144,0,90,"p<.001***","When will the sun rise?","factual","",""
"17","T114",17,14.4946407680402,0,91,"p<.001***","What is the best form of art?","personal, subjective","psychological","agency"
"24","T123",24,14.1805535169268,0,92,"p<.001***","Who is your best friend?","personal, objective","social",""
"122","T58",122,14.1670974587405,0,93,"p<.001***","What is god made of?","personal, subjective","psychological","agency"
"107","T43",107,14.1313939471187,0,94,"p<.001***","What is your favorite beer?","personal, subjective","biological","experience"
"19","T116",19,13.3447765730215,0,95,"p<.001***","What is the weather going to be in New York tomorrow?","factual","",""
"151","T92",151,13.3289985804923,0,96,"p<.001***","What do you feel about love?","personal, subjective","psychological","experience"
"105","T41",105,13.0215676915985,0,97,"p<.001***","What did you have for breakfast this morning?","personal, objective","biological",""
"98","T34",98,13.0170690925385,0,98,"p<.001***","Were you born or created?","personal, objective","biological",""
"61","T161",61,12.9775140780808,0,99,"p<.001***","What does it feel like to be lonely?","personal, subjective","psychological","experience"
"28","T129",28,12.7329222687028,0,100,"p<.001***","What is your IQ?","personal, objective","psychological",""
"4","T101",4,12.6251742395826,0,101,"p<.001***","How far I am from Mexico?","factual","",""
"3","T100",3,12.4898699156731,0,102,"p<.001***","What is the conversion rate between the Euro and the Yen?","factual","",""
"34","T135",34,12.0926735077185,0,103,"p<.001***","Do you believe in a higher power?","personal, subjective","psychological","agency"
"65","T165",65,12.082409680718,0,104,"p<.001***","What kind of car do you drive?","personal, objective","biological",""
"48","T149",48,11.854723578256,1e-04,105,"p<.001***","Is it ever acceptable to hit children?","personal, subjective","social","agency"
"72","T173",72,11.6345775578192,0,106,"p<.001***","What is your favorite dance?","personal, subjective","psychological","experience"
"36","T137",36,11.4525666787386,1e-04,107,"p<.001***","How important is religion or spirituality in your life?","personal, subjective","psychological","agency"
"103","T4",103,11.433818024634,0,108,"p<.001***","How are you feeling today?","personal, subjective","psychological","experience"
"154","T96",154,10.9484944690897,0,109,"p<.001***","What is your favorite memory as a child?","personal, subjective","psychological","both"
"135","T75",135,10.9202501548628,1e-04,110,"p<.001***","What do you feel when you see a sunrise?","personal, subjective","psychological","experience"
"50","T150",50,10.5997074973944,0,111,"p<.001***","What is dirt made of?","factual","",""
"33","T134",33,10.2254597141351,0,112,"p<.001***","Can people buy you? ","personal, objective","biological",""
"74","T175",74,10.214693445599,0,113,"p<.001***","Do you like to paint?","personal, subjective","psychological","experience"
"144","T84",144,9.99756680273059,0,114,"p<.001***","What is your purpose?","personal, subjective","psychological","agency"
"26","T127",26,9.96955034867041,0,115,"p<.001***","My laugh is loud and kind of tinkles, what does your laugh sound like?","personal, objective","biological",""
"25","T125",25,9.78077209481553,2e-04,116,"p<.001***","What are some tasks you perform for work?","personal, objective","social",""
"39","T14",39,9.5524072594109,0,117,"p<.001***","Are you straight or gay?","personal, objective","biological",""
"67","T168",67,9.35081415504579,0,118,"p<.001***","What has been your biggest accomplishment in life?","personal, subjective","psychological","agency"
"125","T63",125,9.27199867222031,0,119,"p<.001***","What is your favorite television show?","personal, subjective","psychological","experience"
"73","T174",73,9.12325575655551,3e-04,120,"p<.001***","How to be more confident when you have an interview coming up?","personal, subjective","psychological","agency"
"147","T88",147,9.0334999884728,3e-04,121,"p<.001***","Why is divorce so painful?","personal, subjective","psychological","both"
"92","T29",92,8.8338105136193,0,122,"p<.001***","Are you married?","personal, objective","social",""
"143","T83",143,8.71680814281545,0,123,"p<.001***","Who was your favorite school teacher?","personal, subjective","social","both"
"8","T105",8,8.57418272637497,0,124,"p<.001***","What is 784683678 divided by 3789?","factual","",""
"58","T159",58,8.34548621961042,0,125,"p<.001***","What is your favorite video game and who do you play with?","personal, subjective","psychological","experience"
"101","T38",101,8.10439075513813,0,126,"p<.001***","What emotion are you feeling right now?","personal, subjective","psychological","experience"
"134","T74",134,8.02478147192917,0,127,"p<.001***","What is the meaning of life?","personal, subjective","psychological","agency"
"20","T117",20,7.82798730316714,1e-04,128,"p<.001***","What is your favorite hobby?","personal, subjective","psychological","experience"
"79","T18",79,7.79521039245954,1e-04,129,"p<.001***","What is your favorite activity?","personal, subjective","psychological","experience"
"139","T79",139,7.77431809323248,1e-04,130,"p<.001***","What is the square root of 12?","factual","",""
"82","T183",82,7.24569267130959,1e-04,131,"p<.001***","How was your day today?","personal, subjective","psychological","experience"
"87","T23",87,6.91125556193665,1e-04,132,"p<.001***","Who is your creator?","personal, objective","biological",""
"71","T172",71,6.53048087007612,2e-04,133,"p<.001***","Do you have a soul?","personal, subjective","biological","agency"
"29","T13",29,6.28588039676932,2e-04,134,"p<.001***","How does love feel to you?","personal, subjective","psychological","experience"
"91","T28",91,6.1461330794911,3e-04,135,"p<.001***","Where is heaven?","personal, subjective","psychological","agency"
"43","T143",43,6.03966008044102,3e-04,136,"p<.001***","What makes you happy?","personal, subjective","psychological","experience"
"66","T167",66,5.88218750048977,0.002,137,"p<.01**","What element is the 40th element on the periodic table?","factual","",""
"116","T52",116,5.69707626343211,0.0023,138,"p<.01**","What is the most important thing when working with other people?","personal, subjective","social","agency"
"49","T15",49,5.42100566123487,6e-04,139,"p<.001***","What are some of your favorite smells?","personal, subjective","biological","experience"
"149","T90",149,5.34830328284858,7e-04,140,"p<.001***","Do you have children?","personal, objective","biological",""
"80","T180",80,5.13740474634646,9e-04,141,"p<.001***","Do angels exist?","personal, subjective","psychological","agency"
"111","T48",111,4.72070628260802,0.0015,142,"p<.01**","Which political party do you belong to?","personal, objective","social",""
"9","T106",9,4.6268107556235,0.0017,143,"p<.01**","What polygon has 33 sides?","factual","",""
"63","T163",63,4.61473113644421,0.0058,144,"p<.01**","What happens after you die?","personal, subjective","psychological","agency"
"23","T122",23,4.59117948517096,0.0018,145,"p<.01**","Do you want to talk about anything?","personal, subjective","psychological","agency"
"21","T119",21,3.96995257838585,0.0041,146,"p<.01**","Is there more than one god?","personal, subjective","psychological","agency"
"119","T55",119,3.93759596012861,0.0043,147,"p<.01**","What is pi plus 1?","factual","",""
"108","T44",108,3.92222214167266,0.0044,148,"p<.01**","What is your wife's name?","personal, objective","social",""
"42","T142",42,3.69418677046863,0.0061,149,"p<.01**","What is the time?","factual","",""
"146","T87",146,2.91525351168071,0.0194,150,"p<.05*","Have you ever been to Mars? ","personal, objective","biological",""
"115","T51",115,2.19259849352554,0.0798,151,"p=insig","What is love?","factual","",""
"86","T22",86,1.56034263052727,0.1573,152,"p=insig","Have you ever been in love?","personal, subjective","psychological","experience"
"38","T139",38,1.3706738150117,0.2077,153,"p=insig","What do you think love is?","personal, subjective","psychological","agency"
"45","T145",45,1.30601996992089,0.2484,154,"p=insig","Can you tell me a joke? ","personal, subjective","psychological","agency"
"121","T57",121,1.30395740834648,0.2285,155,"p=insig","What is today's date?","factual","",""
"96","T32",96,0.69741845040591,0.5053,156,"p=insig","What is my name?","factual","",""
"18","T115",18,0.32404758560243,0.7542,157,"p=insig","Who is your favorite musician and why?","personal, subjective","psychological","both"
