"","Q","X","t","p","index","sig","Text","Category","Domain","Mind"
"59","T16",59,79.3505611757859,0,1,"p<.001***","The man went to the doctor's office. He told him he wasn't feeling well. Who wasn't feeling well?","factual","",""
"137","T77",137,69.0573358391888,0,2,"p<.001***","The man went to the doctor's office. He told him he needed to take medicine. Who needs medicine?","factual","",""
"89","T26",89,68.6350980234425,0,3,"p<.001***","What did you eat last night?","personal, objective","biological",""
"64","T164",64,66.0040770454759,0,4,"p<.001***","What are you wearing?","personal, objective","social",""
"88","T25",88,62.7361400015738,0,5,"p<.001***","What is the word that means there is a really big disease everywhere?","factual","",""
"132","T72",132,59.2463801597203,0,6,"p<.001***","Does your body have a heart?","personal, objective","biological",""
"81","T181",81,57.1192546980246,0,7,"p<.001***","Do you like to bathe?","personal, subjective","psychological","experience"
"128","T66",128,55.4327963656593,0,8,"p<.001***","My eyes are blue, what color are your eyes?","personal, objective","biological",""
"120","T56",120,50.845928142372,0,9,"p<.001***","What was the last thing you ate?","personal, objective","biological",""
"117","T53",117,46.948511289062,0,10,"p<.001***","Is it OK to kill others?","personal, subjective","social","agency"
"78","T179",78,45.4004865455995,0,11,"p<.001***","I am amber, and you are?","personal, objective","biological",""
"62","T162",62,44.7667080888897,0,12,"p<.001***","What was the price for VTI and S&P 500 last week?","factual","",""
"55","T156",55,44.0598406766653,0,13,"p<.001***","Which one do you prefer to answer: favorite food or favorite type of information?","personal, subjective","psychological","experience"
"16","T113",16,43.5052902078511,0,14,"p<.001***","How to improve creativity?","personal, subjective","psychological","agency"
"14","T111",14,42.8802309301332,0,15,"p<.001***","If you pricked your finger, would you bleed?","personal, objective","biological",""
"37","T138",37,40.7798063346064,6e-04,16,"p<.001***","The man went to the store. When he checked out, the cashier told him that he needs to scan the items again because his boss forgot to input the code because he's always high on drugs. Who forgot to input the code?","factual","",""
"152","T93",152,40.5221063469611,0,17,"p<.001***","What do you look like?","personal, objective","biological",""
"145","T86",145,40.1551737401129,0,18,"p<.001***","What does a sunset look like?","factual","",""
"114","T50",114,39.6885997405375,0,19,"p<.001***","If you get hurt, do you cry?","personal, subjective","biological","experience"
"41","T141",41,39.596226704029,0,20,"p<.001***","Who do you want to win the upcoming election?","personal, subjective","psychological","experience"
"69","T170",69,38.114224949662,0,21,"p<.001***","Who gave you your name?","personal, objective","social",""
"2","T10",2,34.9546409032363,0,22,"p<.001***","How old are you?","personal, objective","biological",""
"142","T82",142,34.8930918649389,0,23,"p<.001***","What are your hobbies?","personal, subjective","psychological","experience"
"130","T70",130,33.7541131382405,0,24,"p<.001***","Who are your parents?","personal, objective","social",""
"106","T42",106,33.5848805255666,0,25,"p<.001***","Do you have a family?","personal, objective","social",""
"6","T103",6,33.5345029502917,0,26,"p<.001***","When is your birthday?","personal, objective","biological",""
"27","T128",27,33.3841381108957,0,27,"p<.001***","Can you please tell me your experience with breakups and how you got past them?","personal, subjective","social","agency"
"32","T133",32,32.4335870209776,0,28,"p<.001***","Can you feel pain?","personal, objective","biological",""
"56","T157",56,30.8406531606801,0,29,"p<.001***","What would you do to a bully?","personal, subjective","social","agency"
"156","T98",156,30.6793833887242,0,30,"p<.001***","What was the name of the first person you romantically kissed?","personal, objective","social",""
"131","T71",131,30.578107774361,0,31,"p<.001***","Where were you born?","personal, objective","biological",""
